Depth,SVelocity,PVelocity
9.962,3724.7,7301.59
10.062,3724.7,7301.59
10.162,3724.7,7479.67
10.262,3724.7,7479.67
10.362,3724.7,7479.67
10.462,3724.7,7479.67
10.562,3724.7,7479.67
10.662,3724.7,7666.67
10.762,3724.7,7863.25
10.862,3724.7,7863.25
10.962,3665.34,7863.25
11.062,3665.34,7863.25
11.162,3665.34,7666.67
11.262,3665.34,7666.67
11.362,3665.34,7301.59
11.462,3665.34,7301.59
11.562,3622.05,7301.59
11.662,3579.77,7301.59
11.762,3538.46,7301.59
11.862,3538.46,7301.59
11.962,3498.1,7131.78
12.062,3498.1,7131.78
12.162,3498.1,7131.78
12.262,3498.1,7131.78
12.362,3498.1,7301.59
12.462,3498.1,7301.59
12.562,3538.46,7301.59
12.662,3579.77,7301.59
12.762,3622.05,7301.59
12.862,3622.05,7301.59
12.962,3665.34,7301.59
13.062,3724.7,7301.59
13.162,3724.7,7301.59
13.262,3724.7,7301.59
13.362,3724.7,7301.59
13.462,3724.7,7479.67
13.562,3724.7,7479.67
13.662,3724.7,7666.67
13.762,3770.49,7666.67
13.862,3770.49,7666.67
13.962,3724.7,7666.67
14.062,3724.7,7666.67
14.162,3665.34,7479.67
14.262,3665.34,7301.59
14.362,3622.05,6969.7
14.462,3622.05,6969.7
14.562,3622.05,6969.7
14.662,3622.05,6666.67
14.762,3622.05,6448.6
14.862,3622.05,6448.6
14.962,3665.34,6106.19
15.062,3665.34,6106.19
15.162,3724.7,5897.44
15.262,3724.7,5750
15.362,3724.7,5348.84
15.462,3724.7,5348.84
15.562,3724.7,5348.84
15.662,3194.44,5348.84
15.762,3129.25,5348.84
15.862,3097.64,5348.84
15.962,2911.39,5897.44
16.062,3161.51,5897.44
16.162,3297.49,5897.44
16.262,3622.05,6106.19
16.362,3665.34,6106.19
16.462,3665.34,6106.19
16.562,3665.34,6272.73
16.662,3665.34,6666.67
16.762,3724.7,6666.67
16.862,3770.49,6478.87
16.962,3770.49,6478.87
17.062,3770.49,6478.87
17.162,3817.43,6478.87
17.262,3817.43,6478.87
17.362,3817.43,6478.87
17.462,3817.43,6478.87
17.562,3817.43,6216.22
17.662,3817.43,6216.22
17.762,3817.43,6216.22
17.862,3817.43,6092.72
17.962,3817.43,6092.72
18.062,3817.43,6092.72
18.162,3817.43,6216.22
18.262,3817.43,6216.22
18.362,3770.49,6216.22
18.462,3770.49,6344.83
18.562,3724.7,6344.83
18.662,3724.7,6344.83
18.762,3724.7,6478.87
18.862,3724.7,6666.67
18.962,3665.34,6969.7
19.062,3665.34,7131.78
19.162,3622.05,7131.78
19.262,3622.05,7131.78
19.362,3622.05,7131.78
19.462,3622.05,7301.59
19.562,3579.77,6478.87
19.662,3579.77,6478.87
19.762,3579.77,6478.87
19.862,3538.46,6478.87
19.962,3538.46,6478.87
20.062,3538.46,6344.83
20.162,3538.46,6344.83
20.262,3538.46,6344.83
20.362,3538.46,6344.83
20.462,3538.46,6344.83
20.562,3538.46,6344.83
20.662,3538.46,6344.83
20.762,3538.46,6344.83
20.862,3498.1,6344.83
20.962,3498.1,6344.83
21.062,3458.65,6344.83
21.162,3458.65,6344.83
21.262,3458.65,6344.83
21.362,3458.65,6344.83
21.462,3458.65,6344.83
21.562,3458.65,6344.83
21.662,3458.65,6344.83
21.762,3458.65,6344.83
21.862,3458.65,6344.83
21.962,3420.07,6344.83
22.062,3420.07,6344.83
22.162,3420.07,6344.83
22.262,3382.35,6344.83
22.362,3382.35,6478.87
22.462,3382.35,6666.67
22.562,3382.35,6666.67
22.662,3382.35,6814.81
22.762,3382.35,6814.81
22.862,3382.35,6814.81
22.962,3382.35,6814.81
23.062,3382.35,6814.81
23.162,3382.35,6814.81
23.262,3382.35,6814.81
23.362,3420.07,6969.7
23.462,3420.07,6969.7
23.562,3420.07,7131.78
23.662,3420.07,7131.78
23.762,3420.07,7131.78
23.862,3420.07,7131.78
23.962,3420.07,7131.78
24.062,3458.65,7131.78
24.162,3458.65,7131.78
24.262,3498.1,7131.78
24.362,3498.1,7131.78
24.462,3498.1,7131.78
24.562,3420.07,7131.78
24.662,3420.07,7131.78
24.762,3420.07,7131.78
24.862,3420.07,7301.59
24.962,3420.07,7479.67
25.062,3420.07,7479.67
25.162,3420.07,7479.67
