Depth,Temperature,FCond,  Depth ft
14.186,23.1939,796.253,46.5428
14.236,23.1939,795.911,46.7068
14.286,23.2131,796.178,46.8709
14.336,23.2131,793.446,47.0349
14.386,23.2354,796.103,47.199
14.436,23.2131,796.476,47.363
14.486,23.2514,793.976,47.5271
14.536,23.2514,795.688,47.6911
14.586,23.2514,796.222,47.8551
14.636,23.2354,796.222,48.0192
14.686,23.2514,794.789,48.1832
14.736,23.2354,796.489,48.3473
14.786,23.2705,794.789,48.5113
14.836,23.2514,796.415,48.6754
14.886,23.2556,796.756,48.8394
14.936,23.2705,794.991,49.0034
14.986,23.2705,796.682,49.1675
15.036,23.3089,797.217,49.3315
15.086,23.2705,796.536,49.4956
15.136,23.328,795.348,49.6596
15.186,23.328,796.998,49.8237
15.236,23.328,797.535,49.9877
15.286,23.3472,798.072,50.1517
15.336,23.3567,795.054,50.3158
15.386,23.3472,798.845,50.4798
15.436,23.3472,798.268,50.6439
15.486,23.3567,796.123,50.8079
15.536,23.3663,799.13,50.9719
15.586,23.3663,798.196,51.136
15.636,23.3663,796.05,51.3
15.686,23.3855,798.465,51.4641
15.736,23.3663,798.663,51.6281
15.786,23.3663,799.273,51.7921
15.836,23.3972,797.122,51.9562
15.886,23.4046,800.119,52.1202
15.936,23.3855,798.861,52.2843
15.986,23.4046,797.587,52.4483
16.036,23.443,800.482,52.6124
16.086,23.443,800.07,52.7764
16.136,23.4376,800.612,52.9404
16.186,23.4621,798.829,53.1045
16.236,23.4376,800.271,53.2685
16.286,23.4621,799.114,53.4326
16.336,23.4621,800.271,53.5966
16.386,23.4621,800.542,53.7607
16.436,23.4621,800.542,53.9247
16.486,23.4813,798.109,54.0887
16.536,23.4841,800.201,54.2528
16.586,23.4813,799.514,54.4168
16.636,23.5004,800.472,54.5809
16.686,23.4813,799.86,54.7449
16.736,23.5004,798.039,54.909
16.786,23.5004,800.403,55.073
16.836,23.5004,800.674,55.237
16.886,23.4983,800.674,55.4011
16.936,23.5004,798.606,55.5651
16.986,23.5004,800.945,55.7292
17.036,23.5004,800.945,55.8932
17.086,23.5196,798.508,56.0572
17.136,23.5196,800.876,56.2213
17.186,23.5387,801.148,56.3853
17.236,23.5196,801.079,56.5494
17.286,23.5387,798.979,56.7134
17.336,23.5579,801.896,56.8774
17.386,23.577,801.283,57.0415
17.436,23.577,801.214,57.2055
17.486,23.6154,798.771,57.3696
17.536,23.6196,800.806,57.5336
17.586,23.5962,801.321,57.6977
17.636,23.6345,798.432,57.8617
17.686,23.6154,800.194,58.0257
17.736,23.6345,800.534,58.1898
17.786,23.6154,799.651,58.3538
17.836,23.6345,797.823,58.5179
17.886,23.6537,799.922,58.6819
17.936,23.6345,799.855,58.846
17.986,23.6154,800.194,59.01
18.036,23.6537,798.363,59.174
18.086,23.6345,800.127,59.3381
18.136,23.6537,800.466,59.5021
18.186,23.6479,800.671,59.6662
18.236,23.6345,800.473,59.8302
18.286,23.6803,799.108,59.9942
18.336,23.6728,801.684,60.1583
18.386,23.6728,800.876,60.3223
18.436,23.7111,798.701,60.4864
18.486,23.7207,800.47,60.6504
18.536,23.692,800.391,60.8145
18.586,23.7303,798.092,60.9785
18.636,23.7303,799.586,61.1426
18.686,23.7389,799.859,61.3066
18.736,23.7303,799.38,61.4706
18.786,23.7495,800.404,61.6347
18.836,23.7495,798.162,61.7987
18.886,23.7686,800.61,61.9628
18.936,23.7686,800.544,62.1268
18.986,23.7686,800.544,62.2908
19.036,23.7686,798.366,62.4549
19.086,23.7878,801.091,62.6189
19.136,23.7878,800.479,62.783
19.186,23.7686,800.752,62.947
19.236,23.7878,798.366,63.111
19.286,23.7878,801.025,63.2751
19.336,23.8069,801.025,63.4391
19.386,23.7878,801.233,63.6032
19.436,23.7878,799.116,63.7672
19.486,23.8261,802.394,63.9313
19.536,23.8069,801.99,64.0953
19.586,23.8261,803.154,64.2593
19.636,23.8452,800.075,64.4234
19.686,23.8644,803.025,64.5874
19.736,23.9027,802.686,64.7515
19.786,23.8835,802.008,64.9155
19.836,23.9027,800.154,65.0796
19.886,23.9027,802.558,65.2436
19.936,23.9027,802.283,65.4076
19.986,23.9027,802.283,65.5717
20.036,23.9027,800.348,65.7357
20.086,23.9027,802.283,65.8998
20.136,23.8835,802.201,66.0638
20.186,23.8835,803.448,66.2279
20.236,23.9027,801.249,66.3919
20.286,23.9027,803.937,66.5559
20.336,23.9027,803.247,66.72
20.386,23.8835,804.996,66.884
20.436,23.9027,802.622,67.0481
20.486,23.9027,804.558,67.2121
20.536,23.9229,805.597,67.3761
20.586,23.9219,806.394,67.5402
20.636,23.941,803.874,67.7042
20.686,23.9602,806.305,67.8683
20.736,23.9602,806.521,68.0323
20.786,23.9431,806.521,68.1964
20.836,23.9836,804.864,68.3604
20.886,23.9836,807.375,68.5244
20.936,24.0038,804.441,68.6885
20.986,23.9836,806.428,68.8525
21.036,24.024,804.149,69.0166
21.086,23.9985,806.07,69.1806
21.136,24.0442,803.348,69.3447
21.186,24.024,806.005,69.5087
21.236,24.056,803.726,69.6727
21.286,24.0645,805.381,69.8368
21.336,24.0751,806.236,70.0008
21.386,24.0847,802.825,70.1649
21.436,24.1049,806.467,70.3289
21.486,24.1134,803.176,70.4929
21.536,24.1168,805.2,70.657
21.586,24.1251,803.948,70.821
21.636,24.1134,806.046,70.9851
21.686,24.1251,805.479,71.1491
21.736,24.1251,803.405,71.3131
21.786,24.1134,806.341,71.4772
21.836,24.1453,803.257,71.6412
21.886,24.1393,805.983,71.8053
21.936,24.1453,804.855,71.9693
21.986,24.1517,803.342,72.1334
22.036,24.1656,805.359,72.2974
22.086,24.1709,805.921,72.4614
22.136,24.1858,802.523,72.6255
22.186,24.1858,805.859,72.7895
22.236,24.1858,803.215,72.9536
22.286,24.1858,806.154,73.1176
22.336,24.19,802.923,73.2816
22.386,24.1858,804.684,73.4457
22.436,24.19,805.564,73.6097
22.486,24.1858,802.463,73.7738
22.536,24.2092,805.564,73.9378
22.586,24.206,804.625,74.1019
22.636,24.2092,802.86,74.2659
22.686,24.2284,804.904,74.4299
22.736,24.2262,804.845,74.594
22.786,24.2475,803.383,74.758
22.836,24.2464,805.066,74.9221
22.886,24.2667,803.028,75.0861
22.936,24.2464,805.613,75.2502
22.986,24.2667,803.028,75.4142
23.036,24.2667,805.613,75.5782
23.086,24.2667,803.173,75.7423
23.136,24.2667,805.023,75.9063
23.186,24.305,801.396,76.0704
23.236,24.2858,803.777,76.2344
23.286,24.305,804.114,76.3985
23.336,24.3031,803.777,76.5625
23.386,24.305,803.825,76.7265
23.436,24.3241,802.11,76.8906
23.486,24.3395,804.556,77.0546
23.536,24.3816,803.98,77.2187
23.586,24.3816,804.385,77.3827
23.636,24.4008,804.944,77.5467
23.686,24.4284,802.378,77.7108
23.736,24.4199,805.134,77.8748
23.786,24.4082,804.552,78.0389
23.836,24.4391,802.248,78.2029
23.886,24.4199,803.658,78.367
23.936,24.4199,803.993,78.531
23.986,24.4199,801.765,78.695
24.036,24.4391,804.273,78.8591
24.086,24.4199,804.497,79.0231
24.136,24.4199,804.832,79.1872
24.186,24.4487,802.321,79.3512
24.236,24.4391,803.924,79.5153
24.286,24.4582,805.337,79.6793
24.336,24.4391,805.281,79.8433
24.386,24.4582,806.179,80.0074
24.436,24.4582,803.602,80.1714
24.486,24.4965,806.405,80.3355
24.536,24.4774,805.733,80.4995
24.586,24.4774,806.631,80.6635
24.636,24.4965,804.666,80.8276
24.686,24.4965,807.422,80.9916
24.736,24.4774,807.422,81.1557
24.786,24.4774,808.324,81.3197
24.836,24.4965,805.788,81.4838
24.886,24.4965,808.27,81.6478
24.936,24.4689,808.552,81.8118
24.986,24.5157,807.094,81.9759
25.036,24.5032,808.216,82.1399
25.086,24.5157,808.576,82.304
25.136,24.554,809.065,82.468
25.186,24.5295,808.675,82.632
25.236,24.5732,807.22,82.7961
25.286,24.5732,808.339,82.9601
25.336,24.5732,808.623,83.1242
25.386,24.57,806.079,83.2882
25.436,24.5732,809.199,83.4523
25.486,24.5349,808.623,83.6163
