Depth,Temperature,FCond
18.08,23.9892,593.411
18.13,23.9892,594.073
18.18,23.9892,592.657
18.23,24.0052,592.529
18.28,23.9938,593.421
18.33,24.0015,593.175
18.38,23.98,592.433
18.43,24.0076,593.331
18.48,24.0076,593.575
18.53,23.9892,592.546
18.58,23.9892,593.428
18.63,24.0076,593.428
18.68,24.0076,594.349
18.73,23.9892,593.189
18.78,24.026,593.171
18.83,24.0443,593.207
18.88,24.026,594.386
18.93,24.026,593.851
18.98,24.0379,593.464
19.03,24.0572,594.302
19.08,24.0627,594.322
19.13,24.0811,593.63
19.18,24.0811,594.683
19.23,24.0995,593.649
19.28,24.0995,593.28
19.33,24.1178,594.185
19.38,24.1151,594.592
19.43,24.1204,593.839
19.48,24.1546,593.179
19.53,24.1546,593.596
19.58,24.173,594.503
19.63,24.173,593.099
19.68,24.173,593.222
19.73,24.173,592.841
19.78,24.173,593.222
19.83,24.173,593.228
19.88,24.173,594.393
19.93,24.173,593.629
19.98,24.173,592.97
20.03,24.1914,593.228
20.08,24.1914,593.119
20.13,24.1905,594.673
20.18,24.173,593.623
20.23,24.2097,594.004
20.28,24.2097,594.823
20.33,24.2116,593.527
20.38,24.2097,593.943
20.43,24.2309,593.656
20.48,24.2281,593.42
20.53,24.2465,593.288
20.58,24.2309,594.605
20.63,24.2281,593.828
20.68,24.2465,593.547
20.73,24.2465,592.791
20.78,24.2649,592.791
20.83,24.2465,593.977
20.88,24.2465,592.92
20.93,24.2281,592.791
20.98,24.2649,593.159
21.03,24.2309,594.107
21.08,24.2465,594.646
21.13,24.2281,593.826
21.18,24.2502,594.454
21.23,24.2649,594.668
21.28,24.2695,593.977
21.33,24.2832,594.417
21.38,24.2888,595.69
21.43,24.3016,594.986
21.48,24.3016,594.8
21.53,24.32,594.8
21.58,24.3751,594.301
21.63,24.3568,594.237
21.68,24.3568,593.175
21.73,24.3751,593.435
21.78,24.3751,592.938
21.83,24.3659,593.977
21.88,24.3568,593.576
21.93,24.3659,593.046
21.98,24.3568,593.849
22.03,24.3384,593.954
22.08,24.3659,594.583
22.13,24.3751,594.395
22.18,24.3568,595.541
22.23,24.3751,594.475
22.28,24.3852,594.497
22.33,24.3935,594.829
22.38,24.4119,594.129
22.43,24.4119,595.326
22.48,24.4119,594.282
22.53,24.4303,594.152
22.58,24.4238,594.044
22.63,24.4486,594.329
22.68,24.4431,595.504
22.73,24.4431,594.49
22.78,24.4486,594.627
22.83,24.4537,594.328
22.88,24.4854,593.558
22.93,24.4624,594.636
22.98,24.467,594.241
23.03,24.4854,594.351
23.08,24.4712,594.244
23.13,24.4854,595.575
23.18,24.4854,594.766
23.23,24.5038,594.505
23.28,24.5222,594.268
23.33,24.5222,594.814
23.38,24.5038,594.291
23.43,24.5396,594.529
23.48,24.5222,594.478
23.53,24.5589,594.553
23.58,24.5405,595.256
23.63,24.5405,594.708
23.68,24.5405,594.708
23.73,24.5773,594.577
23.78,24.5589,595.019
23.83,24.5773,594.601
23.88,24.5773,594.495
23.93,24.5957,594.757
23.98,24.5773,595.963
24.03,24.614,594.495
24.08,24.614,594.021
24.13,24.6324,593.89
24.18,24.6168,594.963
24.23,24.614,594.169
24.28,24.6168,593.76
24.33,24.614,594.581
24.38,24.614,594.545
24.43,24.6324,594.414
24.48,24.6115,595.357
24.53,24.6361,594.261
24.58,24.6324,594.195
24.63,24.6466,593.523
24.68,24.6324,594.059
24.73,24.6324,593.262
24.78,24.6508,593.654
24.83,24.6361,595.251
24.88,24.614,595.159
24.93,24.6361,595.332
24.98,24.6324,595.021
25.03,24.6508,594.701
25.08,24.6692,594.726
25.13,24.6692,595.672
25.18,24.6692,595.014
25.23,24.6692,595.146
25.28,24.7059,594.489
25.33,24.6875,595.198
25.38,24.6875,594.515
25.43,24.7059,593.991
25.48,24.7059,594.017
25.53,24.6875,595.33
25.58,24.694,594.515
25.63,24.7059,595.102
25.68,24.7059,594.41
25.73,24.7243,594.935
25.78,24.6992,596.279
25.83,24.7243,595.009
25.88,24.7611,594.961
25.93,24.7267,595.938
25.98,24.7603,594.166
26.03,24.7733,595.174
26.08,24.7694,595.648
26.13,24.7794,594.608
26.18,24.7978,594.647
26.23,24.7794,595.993
