Depth,Temperature,FCond,  Depth ft
24.162,23.4376,530.585,79.2733
24.212,23.4781,529.459,79.4373
24.262,23.4578,530.487,79.6014
24.312,23.4781,529.722,79.7654
24.362,23.4781,530.613,79.9295
24.412,23.4781,529.358,80.0935
24.462,23.4959,530.613,80.2575
24.512,23.4983,529.804,80.4216
24.562,23.5185,530.878,80.5856
24.612,23.5185,530.262,80.7497
24.662,23.5185,532.916,80.9137
24.712,23.5387,533.679,81.0778
24.762,23.5387,534.52,81.2418
24.812,23.559,533.312,81.4058
24.862,23.5185,534.219,81.5699
24.912,23.559,532.789,81.7339
24.962,23.5387,533.327,81.898
25.012,23.559,532.549,82.062
25.062,23.5387,533.454,82.226
25.112,23.559,532.803,82.3901
25.162,23.5387,533.709,82.5541
25.212,23.559,533.312,82.7182
25.262,23.5601,534.347,82.8822
25.312,23.559,534.138,83.0462
25.362,23.559,535.756,83.2103
25.412,23.577,535.5,83.3743
25.462,23.5792,536.862,83.5384
25.512,23.5994,535.773,83.7024
25.562,23.5792,536.95,83.8665
25.612,23.5994,536.03,84.0305
25.662,23.5962,537.208,84.1945
25.712,23.5994,536.634,84.3586
25.762,23.6154,535.404,84.5226
25.812,23.6154,535.066,84.6867
25.862,23.603,534.096,84.8507
25.912,23.5994,533.495,85.0148
25.962,23.6398,533.74,85.1788
26.012,23.6196,534.796,85.3428
26.062,23.6458,534.267,85.5069
26.112,23.6196,535.564,85.6709
26.162,23.6398,535.164,85.835
26.212,23.6398,536.211,85.999
26.262,23.6398,535.567,86.163
26.312,23.6398,537.114,86.3271
26.362,23.6601,536.339,86.4911
26.412,23.6398,537.391,86.6552
26.462,23.6537,536.856,86.8192
26.512,23.6398,537.788,86.9833
26.562,23.6601,536.985,87.1473
26.612,23.6601,538.43,87.3113
26.662,23.6886,536.874,87.4754
26.712,23.6601,537.38,87.6394
26.762,23.6803,537.391,87.8035
26.812,23.6886,539.361,87.9675
26.862,23.6803,539.17,88.1316
26.912,23.7207,539.361,88.2956
26.962,23.6803,540.448,88.4596
27.012,23.7207,539.622,88.6237
27.062,23.7005,540.711,88.7877
27.112,23.7005,540.035,88.9518
27.162,23.7207,541.874,89.1158
27.212,23.7303,540.579,89.2798
27.262,23.7207,541.454,89.4439
27.312,23.7207,542.291,89.6079
27.362,23.7409,540.974,89.772
27.412,23.7314,541.521,89.936
27.462,23.7409,540.876,90.1001
27.512,23.7409,540.6,90.2641
27.562,23.7528,542.049,90.4281
27.612,23.7612,541.317,90.5922
27.662,23.7409,543.527,90.7562
27.712,23.7814,544.569,90.9203
27.762,23.7612,547.566,91.0843
27.812,23.7612,547.811,91.2484
27.862,23.7814,548.892,91.4124
27.912,23.7814,546.489,91.5764
27.962,23.7814,547.836,91.7405
28.012,23.8016,547.027,91.9045
28.062,23.7878,547.591,92.0686
28.112,23.8171,546.052,92.2326
28.162,23.7814,547.603,92.3966
28.212,23.8218,546.758,92.5607
28.262,23.8171,547.617,92.7247
28.312,23.8016,547.46,92.8888
28.362,23.842,548.267,93.0528
28.412,23.8218,550.084,93.2169
28.462,23.842,549.513,93.3809
28.512,23.8218,552.136,93.5449
28.562,23.842,552.108,93.709
28.612,23.842,554.341,93.873
28.662,23.8623,554.48,94.0371
28.712,23.842,556.456,94.2011
28.762,23.8623,556.146,94.3651
28.812,23.842,557.714,94.5292
28.862,23.8825,556.844,94.6932
28.912,23.842,557.886,94.8573
28.962,23.8813,557.963,95.0213
29.012,23.842,560.579,95.1854
29.062,23.8825,561.064,95.3494
29.112,23.842,563.268,95.5134
29.162,23.8825,562.628,95.6775
29.212,23.8825,563.555,95.8415
29.262,23.8825,562.982,96.0056
29.312,23.8825,564.99,96.1696
29.362,23.9027,564.271,96.3336
29.412,23.8825,565.17,96.4977
29.462,23.9027,564.271,96.6617
29.512,23.8825,565.17,96.8258
29.562,23.9229,564.128,96.9898
29.612,23.8825,565.35,97.1539
29.662,23.9229,564.558,97.3179
29.712,23.8825,565.928,97.4819
29.762,23.9241,565.278,97.646
29.812,23.9027,565.192,97.81
29.862,23.9229,567.92,97.9741
29.912,23.9229,567.231,98.1381
29.962,23.9229,569.124,98.3022
30.012,23.9431,569.417,98.4662
30.062,23.941,571.512,98.6302
30.112,23.9229,572.308,98.7943
30.162,23.9634,572.801,98.9583
30.212,23.9634,573.477,99.1224
30.262,23.9602,572.736,99.2864
30.312,23.9793,573.611,99.4505
30.362,23.9669,570.57,99.6145
30.412,23.9669,571.135,99.7785
30.462,23.9669,571.135,99.9426
30.512,23.9883,572.543,100.107
30.562,23.9669,574.791,100.271
30.612,23.9836,575.536,100.435
30.662,24.0038,576.206,100.599
30.712,23.9836,579.116,100.763
30.762,23.9836,578.465,100.927
30.812,23.9985,582.116,101.091
30.862,24.0097,581.691,101.255
30.912,24.0038,582.366,101.419
30.962,24.0312,585.397,101.583
31.012,24.0038,589.652,101.747
31.062,24.024,588.825,101.911
31.112,24.0038,590.764,102.075
31.162,24.0312,591.184,102.239
31.212,24.0312,593.844,102.403
31.262,24.024,597.411,102.567
31.312,24.0312,599.085,102.731
31.362,24.024,601.194,102.895
31.412,24.024,603.993,103.059
31.462,24.0442,605.15,103.223
31.512,24.0038,609.551,103.387
31.562,24.0368,612.457,103.551
31.612,24.0442,617.328,103.716
31.662,24.0368,619.11,103.88
31.712,24.0442,619.458,104.044
31.762,24.056,621.023,104.208
31.812,24.0442,621.341,104.372
31.862,24.0645,620.152,104.536
31.912,24.0442,622.847,104.7
31.962,24.0645,623.3,104.864
32.012,24.0442,625.492,105.028
32.063,24.0645,626.479,105.192
32.112,24.056,629.411,105.356
32.162,24.056,627.863,105.52
32.212,24.0847,629.388,105.684
32.262,24.056,629.132,105.848
32.313,24.0751,627.357,106.012
32.362,24.0645,628.614,106.176
32.412,24.0751,629.77,106.34
32.462,24.0847,627.093,106.504
32.512,24.0645,628.595,106.668
32.563,24.0847,627.624,106.832
32.612,24.0847,628.953,106.996
32.662,24.0954,626.811,107.16
32.712,24.0847,628.195,107.324
32.762,24.1049,626.811,107.489
32.813,24.1049,629.212,107.653
