Depth,Temperature,FCond,  Depth ft
16.48,23.5387,572.561,54.0792
16.53,23.5907,571.527,54.2432
16.58,23.5387,572.561,54.4072
16.63,23.5647,572.047,54.5713
16.68,23.5907,571.009,54.7353
16.73,23.5667,572.184,54.8994
16.78,23.5907,571.085,55.0634
16.83,23.5647,572.184,55.2275
16.88,23.5947,571.009,55.3915
16.93,23.5947,571.135,55.5555
16.98,23.5907,573.165,55.7196
17.03,23.6167,571.055,55.8836
17.08,23.5947,572.609,56.0477
17.13,23.5907,570.125,56.2117
17.18,23.6167,569.744,56.3757
17.23,23.6227,571.666,56.5398
17.28,23.6427,571.996,56.7038
17.33,23.6427,573.225,56.8679
17.38,23.6687,571.713,57.0319
17.43,23.6507,572.895,57.196
17.48,23.6427,572.047,57.36
17.53,23.6687,571.337,57.524
17.58,23.6507,572.516,57.6881
17.63,23.6507,571.641,57.8521
17.68,23.6687,571.438,58.0162
17.73,23.6507,572.327,58.1802
17.78,23.6947,571.438,58.3443
17.83,23.6947,572.187,58.5083
17.88,23.7207,570.867,58.6723
17.93,23.7067,572.047,58.8364
17.98,23.6947,571.339,59.0004
18.03,23.7207,571.432,59.1645
18.08,23.7207,571.481,59.3285
18.13,23.7347,569.601,59.4925
18.18,23.7467,571.594,59.6566
18.23,23.7467,569.648,59.8206
18.28,23.7907,571.152,59.9847
18.33,23.7727,571.7,60.1487
18.38,23.8187,571.768,60.3128
18.43,23.7727,573.594,60.4768
18.48,23.7907,571.957,60.6408
18.53,23.7987,572.108,60.8049
18.58,23.7987,573.525,60.9689
18.63,23.8187,571.818,61.133
18.68,23.7727,573.799,61.297
18.73,23.8247,572.146,61.461
18.78,23.7987,573.196,61.6251
18.83,23.7987,572.007,61.7891
18.88,23.8187,573.525,61.9532
18.93,23.7987,571.958,62.1172
18.98,23.8247,572.007,62.2813
19.03,23.7907,573.196,62.4453
19.08,23.8247,572.516,62.6093
19.13,23.8187,573.196,62.7734
19.18,23.8247,572.162,62.9374
19.23,23.8187,571.679,63.1015
19.28,23.8247,574.21,63.2655
19.33,23.8247,571.868,63.4296
19.38,23.7987,573.576,63.5936
19.43,23.8187,572.386,63.7576
19.48,23.8507,572.366,63.9217
19.53,23.7987,573.438,64.0857
