     Depth,SVelocity,PVelocity
56.238,3048.78,5955.17
56.338,3086.42,5955.17
56.438,3125,5955.17
56.538,3143,5955.17
56.638,3143,5955.17
56.738,3143,5955.17
56.838,3195.61,5955.17
56.938,3195.61,5955.17
57.038,3195.61,5955.17
57.138,3143,5955.17
57.238,3143,5955.17
57.338,3143,5955.17
57.438,3143,5955.17
57.538,3143,5955.17
57.638,3143,5955.17
57.738,3143,5955.17
57.838,3143,6171.72
57.938,3104.68,6171.72
58.038,3104.68,6171.72
58.138,3143,6171.72
58.238,3143,6286.01
58.338,3320.65,6445.15
58.438,3320.65,6445.15
58.538,3320.65,6445.15
58.638,3320.65,6569.89
58.738,3320.65,6569.89
58.838,3320.65,6569.89
58.938,3320.65,6569.89
59.038,3320.65,6286.01
59.138,3277.9,6171.72
59.238,3277.9,6061.51
59.338,3277.9,6061.51
59.438,3277.9,6061.51
59.538,3205.13,6061.51
59.638,3205.13,6061.51
59.738,3246.75,6061.51
59.838,3125,6061.51
59.938,3012.05,6061.51
60.038,3012.05,6061.51
60.138,3012.05,6061.51
60.238,3086.42,6061.51
60.338,3164.56,6286.01
60.438,3164.56,6286.01
60.538,3246.75,6445.15
60.638,3246.75,6171.72
60.738,3289.47,6171.72
60.838,3378.38,6171.72
60.938,3378.38,6171.72
61.038,3424.66,6171.72
61.138,3378.38,6171.72
61.238,3424.66,6171.72
61.338,3472.22,6171.72
61.438,3472.22,6171.72
61.538,3521.13,6171.72
61.638,3320.65,6171.72
61.738,3236.23,6171.72
61.838,3236.23,6171.72
61.938,3195.61,6171.72
62.038,3195.61,6171.72
62.138,3143,6171.72
62.238,3143,6171.72
62.338,3067.27,6171.72
62.438,3067.27,6171.72
62.538,3067.27,6445.15
62.638,3205.13,6445.15
62.738,3246.75,6445.15
62.838,3289.47,6445.15
62.938,3289.47,6445.15
63.038,3246.75,6445.15
63.138,3246.75,6445.15
63.238,3289.47,6445.15
63.338,3333.33,6569.89
63.438,3333.33,6569.89
63.538,3378.38,6569.89
63.638,3378.38,6569.89
63.738,3378.38,6974.89
63.838,3424.66,6974.89
63.938,3472.22,6974.89
64.038,3571.43,6974.89
64.138,3521.13,6974.89
64.238,3623.19,6974.89
64.338,3571.43,7121.21
64.438,3472.22,7121.21
64.538,3521.13,7121.21
64.638,3521.13,7121.21
64.738,3521.13,6974.89
64.838,3521.13,6974.89
64.938,3521.13,6974.89
65.038,3521.13,6974.89
65.138,3623.19,6974.89
65.238,3623.19,6974.89
65.338,3571.43,6974.89
65.438,3521.13,6974.89
65.538,3571.43,6974.89
65.638,3623.19,6974.89
65.738,3623.19,6974.89
65.838,3623.19,6974.89
65.938,3676.47,6974.89
66.038,3571.43,6974.89
66.138,3676.47,6974.89
66.238,3623.19,7121.21
66.338,3571.43,7121.21
66.438,3571.43,7121.21
66.538,3571.43,7121.21
66.638,3571.43,7121.21
66.738,3623.19,7273.81
66.838,3676.47,7273.81
66.938,3571.43,7273.81
67.038,3571.43,7273.81
67.138,3472.22,7273.81
67.238,3472.22,7273.81
67.338,3521.13,7273.81
67.438,3571.43,7273.81
67.538,3571.43,7273.81
67.638,3521.13,6974.89
67.738,3571.43,6974.89
67.838,3623.19,6834.45
67.938,3623.19,6699.56
68.038,3676.47,6699.56
68.138,3676.47,6699.56
68.238,3623.19,6699.56
68.338,3676.47,6699.56
68.438,3623.19,6699.56
68.538,3623.19,6699.56
68.638,3623.19,6699.56
68.738,3623.19,6699.56
68.838,3623.19,6699.56
68.938,3623.19,6699.56
69.038,3623.19,6699.56
69.138,3623.19,6699.56
69.238,3571.43,6834.45
69.338,3424.66,6834.45
69.438,3424.66,6974.89
69.538,3472.22,6974.89
69.638,3571.43,7121.21
69.738,3623.19,7121.21
69.838,3676.47,7273.81
69.938,3623.19,7273.81
70.038,3623.19,7273.81
70.138,3571.43,7273.81
70.238,3571.43,7273.81
70.338,3571.43,7273.81
70.438,3571.43,7273.81
70.538,3571.43,7273.81
70.638,3521.13,7273.81
70.738,3472.22,7121.21
70.838,3424.66,7121.21
70.938,3424.66,7121.21
71.038,3378.38,7121.21
71.138,3378.38,7121.21
71.238,3378.38,7121.21
71.338,3424.66,6974.89
71.438,3521.13,6834.45
71.538,3521.13,6834.45
71.638,3521.13,6699.56
71.738,3472.22,6699.56
71.838,3378.38,6699.56
71.938,3378.38,6699.56
72.038,3378.38,6699.56
72.138,3472.22,6699.56
72.238,3571.43,6834.45
72.338,3623.19,6834.45
72.438,3623.19,6834.45
72.538,3623.19,6834.45
72.638,3623.19,6834.45
72.738,3623.19,6974.89
72.838,3623.19,6974.89
72.938,3676.47,6974.89
73.038,3676.47,6974.89
73.138,3676.47,6974.89
73.238,3676.47,6974.89
73.338,3676.47,6974.89
73.438,3676.47,6974.89
73.538,3676.47,6974.89
73.638,3623.19,6834.45
73.738,3676.47,6834.45
73.838,3676.47,6834.45
73.938,3623.19,6834.45
74.038,3521.13,6834.45
74.138,3472.22,6834.45
74.238,3472.22,6834.45
74.338,3521.13,6834.45
74.438,3521.13,6834.45
74.538,3521.13,6834.45
74.638,3571.43,6834.45
74.738,3623.19,6974.89
74.838,3731.34,6974.89
74.938,3731.34,6974.89
75.038,3731.34,6974.89
75.138,3731.34,6974.89
75.238,3787.88,6834.45
75.338,3623.19,6834.45
75.438,3521.13,6699.56
75.538,3521.13,6699.56
75.638,3571.43,6699.56
75.738,3571.43,6699.56
75.838,3623.19,6699.56
75.938,3623.19,6699.56
76.038,3623.19,6699.56
76.138,-999,6699.56
76.238,-999,6699.56
