     Depth,Temperature,FCond 25'C
         m,      deg C,     uS/cm
     17.50,    24.4582,   572.695
     17.55,    24.4361,   572.486
     17.60,    24.4537,   572.119
     17.65,    24.4582,    572.94
     17.70,    24.4361,   572.596
     17.75,    24.4712,   572.119
     17.80,    24.4415,   572.837
     17.85,    24.4582,   571.812
     17.90,    24.4712,   572.818
     17.95,    24.4415,   572.721
     18.00,    24.4582,   571.922
     18.05,    24.4712,   572.707
     18.10,    24.4582,   572.837
     18.15,     24.475,   571.713
     18.20,    24.4582,   572.498
     18.25,    24.4537,   572.707
     18.30,    24.4712,   572.016
     18.35,    24.4712,   572.953
     18.40,    24.4582,   571.797
     18.45,    24.4712,   572.928
     18.50,    24.4582,   572.953
     18.55,     24.475,   571.934
     18.60,    24.4712,   572.719
     18.65,    24.4582,   573.068
     18.70,    24.4582,   571.934
     18.75,    24.4712,   572.928
     18.80,    24.4582,   573.068
     18.85,     24.475,   572.044
     18.90,    24.4582,   572.719
     18.95,     24.475,   573.039
     19.00,    24.4582,    572.83
     19.05,    24.4887,   572.044
     19.10,     24.475,    572.85
     19.15,    24.4712,    572.83
     19.20,    24.4918,   572.144
     19.25,     24.475,   572.731
     19.30,    24.4887,    572.94
     19.35,    24.4918,   572.041
     19.40,    24.5063,   572.731
     19.45,    24.4918,   571.707
     19.50,    24.5253,   572.842
     19.55,    24.5086,   572.203
     19.60,    24.5086,   572.633
     19.65,    24.5238,   571.639
     19.70,    24.5086,    572.76
     19.75,    24.5238,   572.633
     19.80,    24.5086,   571.835
     19.85,    24.5238,   572.744
     19.90,    24.5238,    571.72
     19.95,    24.5253,   572.876
     20.00,    24.5063,   572.535
     20.05,    24.5253,   571.938
     20.10,    24.5253,   572.646
     20.15,    24.5253,   572.535
     20.20,    24.5253,   571.651
     20.25,    24.5238,   572.535
     20.30,    24.5086,   572.876
     20.35,    24.5421,   571.859
     20.40,    24.5107,   572.326
     20.45,    24.5414,   572.635
     20.50,    24.5253,   572.658
     20.55,    24.5238,   571.651
     20.60,    24.5421,   573.108
     20.65,    24.5238,   572.548
     20.70,    24.5421,   571.951
     20.75,    24.5238,   572.659
     20.80,    24.5421,   572.066
     20.85,    24.5421,   572.659
     20.90,    24.5421,   572.659
     20.95,    24.5414,   572.769
     21.00,    24.5421,   571.964
     21.05,    24.5414,   572.659
     21.10,    24.5421,   571.964
     21.15,    24.5421,   572.769
     21.20,    24.5589,    572.88
     21.25,    24.5414,    572.45
     21.30,    24.5589,    572.08
     21.35,    24.5589,   572.903
     21.40,    24.5589,   571.862
     21.45,    24.5589,   572.782
     21.50,    24.5414,   572.672
     21.55,    24.5589,   572.195
     21.60,    24.5589,   572.782
     21.65,    24.5589,   571.977
     21.70,    24.5589,   572.672
     21.75,    24.5757,   572.782
     21.80,    24.5421,   572.574
     21.85,    24.5757,   571.884
     21.90,    24.5589,   572.574
     21.95,    24.5589,   572.782
     22.00,    24.5757,   572.093
     22.05,    24.5757,   572.574
     22.10,    24.5589,   572.685
