     Depth,Temperature,TC FCond 25'C
         m,      deg C,        uS/cm
     15.28,    23.9431,      768.531
     15.33,    23.9809,      770.172
     15.38,    23.9793,      769.083
     15.43,    24.0176,      767.271
     15.48,    23.9985,      768.898
     15.53,    23.9836,      769.221
     15.58,    23.9985,      767.354
     15.63,    23.9985,      769.221
     15.68,    23.9985,      768.968
     15.73,    23.9937,      769.221
     15.78,    23.9836,      768.568
     15.83,    23.9793,       767.62
     15.88,    23.9985,      769.292
     15.93,    23.9793,      769.221
     15.98,    23.9985,       767.02
     16.03,    23.9985,      768.968
     16.08,    23.9836,      769.221
     16.13,    23.9793,      767.354
     16.18,    23.9985,      769.292
     16.23,    23.9634,      768.968
     16.28,    23.9836,      767.695
     16.33,    23.9793,      769.755
     16.38,    23.9602,      769.039
     16.43,    23.9836,      767.091
     16.48,    23.9573,      769.755
     16.53,    23.9689,      768.703
     16.58,    23.9573,      767.287
     16.63,    23.9755,      768.463
     16.68,    23.9793,      767.916
     16.73,    24.0038,      768.786
     16.78,     24.015,      769.146
     16.83,    24.0368,      767.729
     16.88,     24.024,      768.068
     16.93,     24.024,      766.406
     16.98,     24.024,      768.804
     17.03,    24.0442,      766.406
     17.08,    24.0442,      768.196
     17.13,    24.0442,      766.066
     17.18,    24.0368,      768.463
     17.23,    24.0368,      768.321
     17.28,    24.0368,        765.8
     17.33,     24.056,      768.574
     17.38,    24.0645,      769.518
     17.43,    24.0751,      772.688
     17.48,    24.0483,       774.56
     17.53,    24.0442,      770.054
     17.58,    24.0176,       768.73
     17.63,    24.0301,      766.123
     17.68,    24.0368,      768.675
     17.73,    24.0645,      768.068
     17.78,    24.0442,      774.041
     17.83,    24.0526,      773.572
     17.88,    24.0442,      773.176
     17.93,    24.0312,      772.221
     17.98,    24.0645,        774.4
     18.03,     24.002,      775.671
     18.08,    24.0035,      767.165
     18.13,    24.0119,      767.745
     18.18,     24.002,      769.705
     18.23,    24.0067,      768.472
     18.28,    24.0488,        767.8
     18.33,    24.1211,      775.097
