Depth,Temperature,FCond,  Depth ft
18.347,24.0707,664.209,60.1925
18.397,24.0707,666.985,60.3565
18.447,24.0707,664.485,60.5205
18.497,24.0707,664.485,60.6846
18.547,24.0847,664.485,60.8486
18.597,24.1267,664.927,61.0127
18.647,24.0987,666.445,61.1767
18.697,24.0987,664.631,61.3408
18.747,24.1107,664.631,61.5048
18.797,24.0987,665.923,61.6688
18.847,24.0987,663.801,61.8329
18.897,24.1267,663.801,61.9969
18.947,24.1267,663.67,62.161
18.997,24.0987,665.888,62.325
19.047,24.1267,663.801,62.489
19.097,24.0987,663.67,62.6531
19.147,24.1267,663.801,62.8171
19.197,24.1267,666.167,62.9812
19.247,24.0987,663.67,63.1452
19.297,24.1267,664.354,63.3093
19.347,24.1547,663.946,63.4733
19.397,24.0987,666.036,63.6373
19.447,24.1267,664.354,63.8014
19.497,24.1267,663.946,63.9654
19.547,24.1547,664.223,64.1295
19.597,24.1267,666.315,64.2935
19.647,24.1547,664.223,64.4576
19.697,24.1547,663.816,64.6216
19.747,24.1627,663.816,64.7856
19.797,24.1547,665.681,64.9497
19.847,24.1267,663.816,65.1137
19.897,24.1827,664.5,65.2778
19.947,24.1547,665.907,65.4418
19.997,24.1757,664.093,65.6058
20.047,24.1547,664.503,65.7699
20.097,24.1547,663.816,65.9339
20.147,24.1827,664.37,66.098
20.197,24.1827,666.185,66.262
20.247,24.1547,663.962,66.4261
20.297,24.1827,664.093,66.5901
20.347,24.1627,663.962,66.7541
20.397,24.1827,665.94,66.9182
20.447,24.1547,663.962,67.0822
20.497,24.2107,664.093,67.2463
20.547,24.1547,666.335,67.4103
20.597,24.1827,664.37,67.5743
20.647,24.1827,663.962,67.7384
20.697,24.2107,664.24,67.9024
20.747,24.1827,666.335,68.0665
20.797,24.206,664.24,68.2305
20.847,24.1887,664.663,68.3946
20.897,24.2387,664.014,68.5586
20.947,24.1827,666.206,68.7226
20.997,24.1887,664.517,68.8867
21.047,24.2387,664.271,69.0507
21.097,24.2212,666.206,69.2148
21.147,24.206,664.894,69.3788
21.197,24.2363,664.964,69.5429
21.247,24.2107,664.523,69.7069
21.297,24.206,664.665,69.8709
21.347,24.2107,664.964,70.035
21.397,24.2363,664.665,70.199
21.447,24.2107,664.523,70.3631
21.497,24.2363,664.665,70.5271
21.547,24.2667,664.824,70.6911
21.597,24.206,666.357,70.8552
21.647,24.2387,665.265,71.0192
