Depth,Temperature,FCond,AML Gyro Tilt
34.035,24.0847,842.477,-999
34.085,24.0587,846.144,-999
34.135,24.0847,842.477,-999
34.185,24.0587,845.727,-999
34.235,24.1107,842.477,-999
34.285,24.0587,846.078,-999
34.335,24.0987,842.477,-999
34.385,24.0847,847.168,-999
34.435,24.0847,842.409,-999
34.485,24.0587,846.56,-999
34.535,24.0968,842.477,-999
34.585,24.0847,844.809,-999
34.635,24.0847,842.409,-999
34.685,24.0968,846.56,-999
34.735,24.0847,845.197,-999
34.785,24.0726,842.823,-999
34.835,24.0847,845.647,-999
34.885,24.1107,841.996,-999
34.935,24.0968,845.661,-999
34.985,24.0847,845.585,-999
35.035,24.0847,842.409,-999
35.085,24.0968,846.144,-999
35.135,24.1107,841.717,-999
35.185,24.0847,846.078,-999
35.235,24.0968,842.409,-999
35.285,24.1211,845.197,-999
35.335,24.0847,845.135,-999
35.385,24.1211,842.409,-999
35.435,24.1107,844.747,-999
35.485,24.0968,846.078,-999
35.535,24.1107,841.717,-999
35.585,24.1107,845.661,-999
35.635,24.1107,842.342,-999
35.685,24.1211,845.661,-999
35.735,24.1211,844.747,-999
35.785,24.1367,840.885,-999
35.835,24.1211,845.596,-999
35.885,24.1367,844.747,-999
35.935,24.1367,841.862,-999
35.985,24.1211,845.18,-999
36.035,24.1367,841.27,-999
36.085,24.1367,845.596,-999
36.135,24.1627,841.862,-999
36.185,24.1367,845.115,-999
36.235,24.1367,841.862,-999
36.285,24.1627,846.013,-999
36.335,24.1367,840.97,-999
36.385,24.1627,846.013,-999
36.435,24.1453,841.383,-999
36.485,24.1627,845.075,-999
36.535,24.1367,845.531,-999
36.585,24.1887,841.862,-999
36.635,24.1211,845.05,-999
36.685,24.1887,841.655,-999
36.735,24.1367,845.05,-999
36.785,24.1696,842.276,-999
36.835,24.1627,844.237,-999
36.885,24.1627,845.531,-999
36.935,24.1696,841.796,-999
36.985,24.1367,844.237,-999
37.035,24.1887,842.276,-999
37.085,24.1627,844.634,-999
37.135,24.1887,841.383,-999
37.185,24.1627,844.634,-999
37.235,24.1627,841.796,-999
37.285,24.1887,845.531,-999
37.335,24.1696,841.73,-999
37.385,24.1887,844.626,-999
37.435,24.1696,845.05,-999
37.485,24.1696,841.145,-999
37.535,24.1939,844.626,-999
37.585,24.1939,843.789,-999
37.635,24.1627,844.177,-999
37.685,24.1939,841.796,-999
37.735,24.1887,844.565,-999
37.785,24.1939,841.317,-999
37.835,24.2147,844.565,-999
37.885,24.1696,845.403,-999
37.935,24.2147,841.531,-999
37.985,24.1939,844.986,-999
38.035,24.1939,844.954,-999
38.085,24.1887,840.699,-999
38.135,24.2181,846.302,-999
38.185,24.1939,843.729,-999
38.235,24.2181,841.469,-999
38.285,24.2147,844.117,-999
38.335,24.1939,845.403,-999
38.385,24.2181,841.084,-999
38.435,24.2407,844.505,-999
38.485,24.1939,844.923,-999
38.535,24.2407,841.469,-999
38.585,24.2181,845.34,-999
38.635,24.2147,844.505,-999
38.685,24.2181,842.079,-999
38.735,24.2147,844.505,-999
38.785,24.2424,841.665,-999
38.835,24.2181,844.446,-999
38.885,24.2424,844.505,-999
38.935,24.2181,844.446,-999
38.985,24.2407,840.637,-999
39.035,24.2424,845.34,-999
39.085,24.2147,844.446,-999
39.135,24.2424,841.665,-999
39.185,24.2147,844.057,-999
39.235,24.2667,841.665,-999
39.285,24.2424,844.86,-999
39.335,24.2181,844.446,-999
39.385,24.2407,841.023,-999
39.435,24.2667,845.757,-999
39.485,24.2147,843.61,-999
39.535,24.2424,842.079,-999
39.585,24.2407,844.446,-999
39.635,24.2424,841.6,-999
39.685,24.2667,844.446,-999
39.735,24.2147,843.998,-999
