     Depth,Temperature,TN FCond 25'C,  Depth ft
         m,      deg C,        uS/cm,        ft
    16.575,    23.6227,      542.015,   54.3785
    16.625,    23.6227,      540.532,   54.5426
    16.675,    23.6167,      540.713,   54.7066
    16.725,    23.6227,      541.863,   54.8707
    16.775,    23.6227,      540.713,   55.0347
    16.825,    23.6427,      540.713,   55.1988
    16.875,    23.6227,       541.72,   55.3628
    16.925,    23.6227,      540.713,   55.5268
    16.975,    23.6227,      540.713,   55.6909
    17.025,    23.6427,      540.895,   55.8549
    17.075,    23.6227,       541.72,    56.019
    17.125,    23.6297,      540.895,    56.183
    17.175,    23.6227,      541.341,   56.3471
    17.225,    23.6507,      540.895,   56.5111
    17.275,    23.6167,      542.197,   56.6751
    17.325,    23.6507,       540.85,   56.8392
    17.375,    23.6507,      540.741,   57.0032
    17.425,    23.6227,      542.563,   57.1673
    17.475,    23.6167,      541.258,   57.3313
    17.525,    23.6507,       540.85,   57.4953
    17.575,    23.6507,      542.563,   57.6594
    17.625,    23.6167,      541.286,   57.8234
    17.675,    23.6507,      541.019,   57.9875
    17.725,    23.6507,      542.563,   58.1515
    17.775,    23.6227,      540.922,   58.3156
    17.825,    23.6601,      541.258,   58.4796
    17.875,    23.6227,      541.371,   58.6437
    17.925,    23.6601,      541.804,   58.8077
    17.975,    23.6787,      541.766,   58.9717
    18.025,    23.6227,      542.958,   59.1358
    18.075,    23.6507,      541.804,   59.2998
    18.125,    23.6601,      541.468,   59.4639
    18.175,    23.6507,      541.371,   59.6279
    18.225,    23.6787,      540.922,   59.7919
    18.275,    23.6787,      542.409,    59.956
    18.325,    23.6427,      540.587,     60.12
    18.375,    23.6787,      540.707,   60.2841
    18.425,    23.6787,      542.226,   60.4481
    18.475,    23.6507,      540.587,   60.6121
    18.525,    23.6787,      540.922,   60.7762
    18.575,    23.6787,      540.587,   60.9402
    18.625,    23.6787,      542.226,   61.1043
    18.675,    23.6787,      540.406,   61.2683
    18.725,    23.6507,      540.587,   61.4324
    18.775,    23.7067,      540.922,   61.5964
    18.825,    23.6787,      541.891,   61.7604
    18.875,    23.6507,      540.587,   61.9245
    18.925,    23.6787,      541.104,   62.0885
    18.975,    23.7067,      540.587,   62.2526
    19.025,    23.6687,      542.073,   62.4166
    19.075,    23.7067,      540.564,   62.5806
    19.125,    23.7067,      540.253,   62.7447
    19.175,    23.6687,      542.073,   62.9087
    19.225,    23.7067,      540.564,   63.0728
    19.275,    23.7067,      540.616,   63.2368
    19.325,    23.6787,      542.073,   63.4009
    19.375,    23.7067,      540.951,   63.5649
    19.425,    23.6787,      540.616,   63.7289
    19.475,    23.7347,      540.951,    63.893
    19.525,    23.6787,       541.92,    64.057
    19.575,    23.6947,      541.133,   64.2211
    19.625,    23.7347,      540.422,   64.3851
    19.675,    23.6787,       541.92,   64.5492
    19.725,    23.7207,      540.951,   64.7132
    19.775,    23.6947,      540.111,   64.8772
    19.825,    23.7207,      542.113,   65.0413
    19.875,    23.7067,      540.111,   65.2053
    19.925,    23.7207,      542.256,   65.3694
    19.975,    23.7067,       540.28,   65.5334
    20.025,    23.7207,      540.797,   65.6974
    20.075,    23.7067,      541.632,   65.8615
    20.125,    23.7067,      540.979,   66.0255
    20.175,    23.7347,      540.797,   66.1896
    20.225,    23.7067,      542.286,   66.3536
    20.275,    23.7347,      540.979,   66.5177
    20.325,    23.7067,      540.644,   66.6817
    20.375,    23.7467,      541.161,   66.8457
    20.425,    23.7067,      541.829,   67.0098
    20.475,    23.7347,      541.161,   67.1738
    20.525,    23.7347,      540.644,   67.3379
    20.575,    23.7207,      542.469,   67.5019
    20.625,    23.7347,      540.617,    67.666
    20.675,    23.7347,      540.826,     67.83
    20.725,    23.7347,      542.286,    67.994
    20.775,    23.7207,      540.826,   68.1581
    20.825,    23.7627,      540.786,   68.3221
    20.875,    23.7347,       541.95,   68.4862
    20.925,    23.7347,      541.008,   68.6502
    20.975,    23.7347,      541.008,   68.8142
    21.025,    23.7467,      541.008,   68.9783
    21.075,    23.7347,      541.998,   69.1423
    21.125,    23.7347,      541.008,   69.3064
    21.175,    23.7727,      541.008,   69.4704
    21.225,    23.7347,      541.857,   69.6345
    21.275,    23.7347,      541.008,   69.7985
    21.325,    23.7907,      541.008,   69.9625
    21.375,    23.7467,      542.164,   70.1266
    21.425,    23.7347,      540.813,   70.2906
    21.475,    23.7907,      541.373,   70.4547
    21.525,    23.7571,      542.347,   70.6187
    21.575,    23.7814,      540.486,   70.7827
    21.625,    23.7814,      541.103,   70.9468
    21.675,    23.7907,      541.301,   71.1108
    21.725,    23.7627,      542.347,   71.2749
    21.775,    23.7627,      541.038,   71.4389
    21.825,    23.7907,       541.22,    71.603
    21.875,    23.7907,      540.886,    71.767
    21.925,    23.7907,      542.347,    71.931
    21.975,    23.7907,      541.068,   72.0951
    22.025,    23.7627,      540.886,   72.2591
    22.075,    23.8187,       541.22,   72.4232
    22.125,    23.7907,      542.195,   72.5872
    22.175,    23.7907,      541.068,   72.7513
    22.225,    23.7627,      540.886,   72.9153
    22.275,    23.8187,      541.402,   73.0793
    22.325,    23.7907,      542.379,   73.2434
    22.375,    23.7907,      541.068,   73.4074
    22.425,    23.7907,      541.068,   73.5715
    22.475,    23.8187,      540.886,   73.7355
    22.525,    23.7907,      542.379,   73.8995
    22.575,    23.7907,      541.068,   74.0636
    22.625,    23.7907,      541.068,   74.2276
    22.675,    23.7907,       541.25,   74.3917
    22.725,    23.7907,      542.714,   74.5557
